Medicare Part D Opioid Prescribing Rates from Calendar Year 2016,,,,,,,,,,,,
by County,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,Calendar Year 2016,,,,,,,Change in Opioid Prescribing Rates 2013 to 2016,
State Name,State Abbreviation,County Name,FIPS,Part D Prescribers,Part D Opioid Prescribers,Opioid Claims,Extended Release Opioid Claims,Overall Claims,Opioid Prescribing Rate,Extended Release Opioid Prescribing Rate,Change in Opioid Prescribing Rate,Change in Extended Release Opioid Prescribing Rate 
National,,,,"1,120,441","496,350","77,716,608","5,381,275","1,452,978,228",5.35,6.92,-0.47,0.80
Alabama,AL,Autauga,01001,73,45,"24,358","2,286","212,377",11.47,9.39,1.67,4.61
Alabama,AL,Baldwin,01003,457,259,"80,557","6,489","940,727",8.56,8.06,-0.58,0.33
Alabama,AL,Barbour,01005,31,21,"4,383",165,"123,196",3.56,3.76,-2.72,1.49
Alabama,AL,Bibb,01007,40,14,"1,759",43,"47,162",3.73,2.44,-0.25,0.52
Alabama,AL,Blount,01009,26,21,"7,846",56,"135,749",5.78,0.71,-0.34,-1.00
Alabama,AL,Bullock,01011,7,6,"1,920",40,"40,333",4.76,2.08,1.02,0.96
Alabama,AL,Butler,01013,36,25,"3,943",26,"93,106",4.23,0.66,-3.96,-0.39
Alabama,AL,Calhoun,01015,276,159,"47,278","1,759","645,365",7.33,3.72,-0.65,-1.77
Alabama,AL,Chambers,01017,32,22,"10,700",647,"136,055",7.86,6.05,-0.10,-0.14
Alabama,AL,Cherokee,01019,32,20,"13,189",934,"168,763",7.82,7.08,-0.34,5.08
Alabama,AL,Chilton,01021,40,29,"11,909",95,"162,842",7.31,0.80,0.86,-0.24
Alabama,AL,Choctaw,01023,12,8,"6,513",158,"88,461",7.36,2.43,-0.77,0.70
Alabama,AL,Clarke,01025,42,25,"9,109",97,"157,146",5.80,1.06,-0.80,0.08
Alabama,AL,Clay,01027,15,9,"7,408",574,"91,852",8.07,7.75,0.13,1.88
Alabama,AL,Cleburne,01029,4,3,"3,280",121,"42,555",7.71,3.69,-1.10,0.53
Alabama,AL,Coffee,01031,99,53,"17,760",671,"224,725",7.90,3.78,-0.26,1.55
Alabama,AL,Colbert,01033,159,92,"35,537",681,"517,648",6.87,1.92,-0.68,-0.81
Alabama,AL,Conecuh,01035,16,10,"11,586",284,"120,833",9.59,2.45,-0.57,0.45
Alabama,AL,Coosa,01037,1,1,106,0,"2,407",4.40,0.00,2.62,0.00
Alabama,AL,Covington,01039,75,39,"22,054",490,"281,538",7.83,2.22,-0.41,-0.66
Alabama,AL,Crenshaw,01041,13,4,"4,125",81,"73,565",5.61,1.96,-0.89,0.16
Alabama,AL,Cullman,01043,218,120,"58,533","4,065","744,562",7.86,6.94,0.21,0.45
Alabama,AL,Dale,01045,54,31,"7,056",61,"94,127",7.50,0.86,-0.91,-1.07
Alabama,AL,Dallas,01047,91,48,"18,872","1,579","302,067",6.25,8.37,0.04,1.77
Alabama,AL,DeKalb,01049,99,52,"23,365",796,"345,240",6.77,3.41,0.32,0.94
Alabama,AL,Elmore,01051,64,49,"16,017",300,"212,569",7.53,1.87,-0.03,-0.43
Alabama,AL,Escambia,01053,62,39,"16,171",231,"201,260",8.03,1.43,0.71,-0.17
Alabama,AL,Etowah,01055,331,195,"73,868","6,689","876,135",8.43,9.06,-0.64,-2.33
Alabama,AL,Fayette,01057,21,15,"4,898",207,"100,341",4.88,4.23,-1.36,-1.31
Alabama,AL,Franklin,01059,52,31,"16,136",412,"141,377",11.41,2.55,0.15,-0.44
Alabama,AL,Geneva,01061,19,12,"6,058",155,"93,912",6.45,2.56,-1.00,-0.37
Alabama,AL,Greene,01063,7,5,"1,247",0,"24,687",5.05,0.00,-1.72,0.00
Alabama,AL,Hale,01065,12,6,"3,730",52,"72,143",5.17,1.39,-4.45,-1.62
Alabama,AL,Henry,01067,16,10,"5,332",71,"79,239",6.73,1.33,-1.23,0.20
Alabama,AL,Houston,01069,534,274,"77,982","3,114","1,138,178",6.85,3.99,-0.48,0.32
Alabama,AL,Jackson,01071,85,51,"22,953",514,"320,549",7.16,2.24,-0.40,-0.58
Alabama,AL,Jefferson,01073,"3,389","1,515","368,796","20,874","5,244,396",7.03,5.66,0.06,1.00
Alabama,AL,Lamar,01075,13,7,"3,010",0,"31,908",9.43,0.00,2.26,0.00
Alabama,AL,Lauderdale,01077,268,145,"39,930","1,019","670,381",5.96,2.55,-0.46,0.35
Alabama,AL,Lawrence,01079,20,10,"6,916",116,"117,065",5.91,1.68,-1.28,0.18
Alabama,AL,Lee,01081,264,138,"29,205","1,300","562,302",5.19,4.45,-1.11,0.49
Alabama,AL,Limestone,01083,117,60,"12,522",199,"244,690",5.12,1.59,-0.10,0.60
Alabama,AL,Lowndes,01085,4,2,"1,079",0,"12,377",8.72,0.00,3.91,0.00
Alabama,AL,Macon,01087,11,2,267,0,"10,177",2.62,0.00,-1.34,-2.76
Alabama,AL,Madison,01089,"1,215",599,"159,428","11,364","1,699,041",9.38,7.13,-0.10,0.83
Alabama,AL,Marengo,01091,25,14,"7,109",152,"118,198",6.01,2.14,-0.21,0.07
Alabama,AL,Marion,01093,54,30,"21,307",407,"298,258",7.14,1.91,-1.33,0.20
Alabama,AL,Marshall,01095,191,114,"48,081","1,215","731,209",6.58,2.53,-0.44,0.34
Alabama,AL,Mobile,01097,"1,521",769,"218,252","12,146","2,731,531",7.99,5.57,-0.55,-1.24
Alabama,AL,Monroe,01099,25,19,"3,874",130,"83,929",4.62,3.36,-1.88,0.08
Alabama,AL,Montgomery,01101,861,412,"120,180","7,066","1,691,853",7.10,5.88,0.58,1.76
Alabama,AL,Morgan,01103,292,145,"66,648","6,937","746,896",8.92,10.41,-0.47,0.34
Alabama,AL,Perry,01105,10,5,"2,478",169,"49,452",5.01,6.82,-0.10,0.83
Alabama,AL,Pickens,01107,21,14,"6,321",286,"110,808",5.70,4.52,-0.85,0.15
Alabama,AL,Pike,01109,51,33,"7,787",321,"174,746",4.46,4.12,-2.22,1.61
Alabama,AL,Randolph,01111,28,11,"5,530",53,"107,974",5.12,0.96,-2.13,-0.14
Alabama,AL,Russell,01113,30,21,"6,590",409,"118,539",5.56,6.21,-1.22,0.98
Alabama,AL,Shelby,01117,388,193,"69,518","5,033","796,502",8.73,7.24,-0.85,-2.12
Alabama,AL,St. Clair,01115,92,45,"34,230","2,960","296,848",11.53,8.65,3.09,4.92
Alabama,AL,Sumter,01119,10,8,"2,947",55,"42,259",6.97,1.87,1.95,1.41
Alabama,AL,Talladega,01121,123,72,"34,462",656,"430,192",8.01,1.90,-0.67,-0.48
Alabama,AL,Tallapoosa,01123,81,42,"15,662",371,"352,763",4.44,2.37,-1.76,-0.84
Alabama,AL,Tuscaloosa,01125,640,346,"90,134","8,627","1,158,244",7.78,9.57,-0.07,1.28
Alabama,AL,Walker,01127,148,85,"44,982","2,929","492,681",9.13,6.51,-0.90,0.42
Alabama,AL,Washington,01129,9,5,"2,907",119,"41,231",7.05,4.09,0.48,1.69
Alabama,AL,Wilcox,01131,7,5,"1,511",40,"40,046",3.77,2.65,-0.09,1.70
Alabama,AL,Winston,01133,28,17,"11,249",303,"171,303",6.57,2.69,-0.53,-0.24
Alaska,AK,Aleutians East,02013,5,2,66,0,"1,977",3.34,0.00,-2.75,0.00
Alaska,AK,Aleutians West,02016,11,1,18,0,339,5.31,0.00,-0.17,0.00
Alaska,AK,Anchorage,02020,"1,293",528,"39,166","3,952","646,053",6.06,10.09,0.33,0.65
Alaska,AK,Bethel,02050,47,15,"1,707",123,"26,401",6.47,7.21,1.45,3.64
Alaska,AK,Bristol Bay,02060,3,0,0,0,59,0.00,0.00,0.00,0.00
Alaska,AK,Denali,02068,2,0,0,0,232,0.00,0.00,-9.13,0.00
Alaska,AK,Dillingham,02070,16,10,412,0,"7,016",5.87,0.00,0.93,0.00
Alaska,AK,Fairbanks North Star,02090,278,124,"7,798",730,"110,277",7.07,9.36,-0.48,2.92
Alaska,AK,Haines,02100,5,4,89,0,"2,022",4.40,0.00,-2.66,0.00
Alaska,AK,Hoonah-Angoon,02105,2,2,30,0,437,6.86,0.00,6.86,0.00
Alaska,AK,Juneau,02110,112,53,"2,533",187,"33,850",7.48,7.38,-0.81,-0.01
Alaska,AK,Kenai Peninsula,02122,173,89,"10,426","1,526","125,440",8.31,14.64,-2.01,-0.21
Alaska,AK,Ketchikan Gateway,02130,54,25,"2,189",277,"42,510",5.15,12.65,-2.99,-3.01
Alaska,AK,Kodiak Island,02150,38,14,423,57,"10,449",4.05,13.48,-0.41,0.90
Alaska,AK,Kusilvak (frm. Wade Hampton),02158,3,3,62,0,684,9.06,0.00,0.62,0.00
Alaska,AK,Lake and Peninsula,02164,3,0,0,0,83,0.00,0.00,0.00,0.00
Alaska,AK,Matanuska-Susitna,02170,215,114,"11,644","1,548","156,138",7.46,13.29,0.60,2.97
Alaska,AK,Nome,02180,21,10,763,31,"5,721",13.34,4.06,5.67,-1.66
Alaska,AK,North Slope,02185,6,2,65,0,"2,466",2.64,0.00,-0.54,0.00
Alaska,AK,Northwest Arctic,02188,21,7,267,0,"5,820",4.59,0.00,-4.10,-10.27
Alaska,AK,Petersburg,02195,6,3,198,29,"2,911",6.80,14.65,-1.78,-5.35
Alaska,AK,Prince of Wales-Hyder,02198,14,8,661,66,"6,868",9.62,9.98,-1.19,-7.80
Alaska,AK,Sitka,02220,35,12,988,120,"13,749",7.19,12.15,-1.25,4.90
Alaska,AK,Skagway,02230,4,0,0,0,374,0.00,0.00,-4.64,0.00
Alaska,AK,Southeast Fairbanks,02240,8,4,549,85,"5,314",10.33,15.48,-3.39,8.11
Alaska,AK,Valdez-Cordova,02261,18,9,861,147,"8,731",9.86,17.07,-1.38,3.56
Alaska,AK,Wrangell,02275,7,6,442,13,"5,045",8.76,2.94,1.27,0.19
Alaska,AK,Yukon-Koyukuk,02290,9,0,0,0,"1,814",0.00,0.00,-4.11,-6.72
Arizona,AZ,Apache,04001,169,75,"7,265",394,"147,307",4.93,5.42,-1.41,-0.90
Arizona,AZ,Cochise,04003,283,158,"30,180","3,272","449,114",6.72,10.84,-0.69,0.56
Arizona,AZ,Coconino,04005,532,280,"24,256","2,054","368,506",6.58,8.47,-1.28,0.97
Arizona,AZ,Gila,04007,112,74,"17,028","2,651","183,551",9.28,15.57,0.88,4.97
Arizona,AZ,Graham,04009,95,58,"8,791","1,157","125,027",7.03,13.16,-1.95,-0.19
Arizona,AZ,Greenlee,04011,13,5,275,0,"18,501",1.49,0.00,-3.60,-3.98
Arizona,AZ,La Paz,04012,38,23,"4,918",553,"59,817",8.22,11.24,-0.60,1.09
Arizona,AZ,Maricopa,04013,"14,523","7,028","970,164","99,670","14,974,699",6.48,10.27,-0.44,0.54
Arizona,AZ,Mohave,04015,592,348,"97,768","13,019","1,079,350",9.06,13.32,0.44,3.17
Arizona,AZ,Navajo,04017,311,184,"22,632","2,861","325,174",6.96,12.64,-0.66,3.27
Arizona,AZ,Pima,04019,"3,919","1,866","278,669","33,077","4,453,907",6.26,11.87,-0.58,0.91
Arizona,AZ,Pinal,04021,342,173,"27,937","2,109","571,223",4.89,7.55,-1.32,-0.05
Arizona,AZ,Santa Cruz,04023,46,22,"3,474",100,"116,791",2.97,2.88,-0.38,-2.50
Arizona,AZ,Yavapai,04025,767,410,"74,712","6,550","1,155,206",6.47,8.77,-0.38,0.91
Arizona,AZ,Yuma,04027,419,212,"35,826","3,807","625,450",5.73,10.63,-0.47,0.47
Arkansas,AR,Arkansas,05001,31,23,"8,051",279,"178,758",4.50,3.47,-0.72,-0.96
Arkansas,AR,Ashley,05003,32,26,"2,876",101,"78,281",3.67,3.51,-0.64,2.12
Arkansas,AR,Baxter,05005,166,101,"38,417","3,624","469,330",8.19,9.43,0.44,3.41
Arkansas,AR,Benton,05007,565,306,"59,289","3,632","951,538",6.23,6.13,-1.26,-0.91
Arkansas,AR,Boone,05009,104,68,"19,208",845,"273,169",7.03,4.40,-1.09,-0.55
Arkansas,AR,Bradley,05011,17,15,"5,279",90,"96,962",5.44,1.70,0.31,0.93
Arkansas,AR,Calhoun,05013,6,4,"1,503",95,"19,671",7.64,6.32,-1.04,-2.09
Arkansas,AR,Carroll,05015,47,33,"6,457",266,"112,352",5.75,4.12,-2.28,-3.14
Arkansas,AR,Chicot,05017,30,23,"7,179",79,"105,101",6.83,1.10,-0.27,-0.55
Arkansas,AR,Clark,05019,38,26,"6,498",326,"112,443",5.78,5.02,-0.73,1.20
Arkansas,AR,Clay,05021,28,23,"5,103",90,"111,331",4.58,1.76,-0.19,-0.67
Arkansas,AR,Cleburne,05023,35,21,"6,287",233,"132,269",4.75,3.71,-0.72,-0.67
Arkansas,AR,Cleveland,05025,1,1,130,0,"6,868",1.89,0.00,-0.78,0.00
Arkansas,AR,Columbia,05027,53,34,"6,210",121,"140,333",4.43,1.95,-0.86,-0.38
Arkansas,AR,Conway,05029,36,24,"6,085",93,"106,009",5.74,1.53,0.17,0.34
Arkansas,AR,Craighead,05031,557,336,"72,669","4,610","1,199,227",6.06,6.34,-0.09,0.37
Arkansas,AR,Crawford,05033,56,38,"23,382","1,150","275,276",8.49,4.92,-0.57,-1.38
Arkansas,AR,Crittenden,05035,111,70,"16,480",207,"247,569",6.66,1.26,0.40,-0.65
Arkansas,AR,Cross,05037,26,19,"4,301",186,"110,150",3.90,4.32,-0.45,-0.48
Arkansas,AR,Dallas,05039,9,6,"1,618",12,"33,004",4.90,0.74,0.05,0.20
Arkansas,AR,Desha,05041,22,17,"2,787",0,"79,329",3.51,0.00,-0.71,-2.96
Arkansas,AR,Drew,05043,25,17,"6,774",204,"168,757",4.01,3.01,-0.97,-0.06
Arkansas,AR,Faulkner,05045,277,153,"34,464","2,164","535,620",6.43,6.28,1.02,2.23
Arkansas,AR,Franklin,05047,24,19,"5,573",57,"126,584",4.40,1.02,-1.27,0.06
Arkansas,AR,Fulton,05049,16,14,"4,901",76,"100,597",4.87,1.55,-0.59,0.90
Arkansas,AR,Garland,05051,390,250,"67,501","3,519","922,990",7.31,5.21,-0.16,0.65
Arkansas,AR,Grant,05053,18,12,"3,303",16,"55,240",5.98,0.48,-0.26,0.48
Arkansas,AR,Greene,05055,82,56,"20,879","1,094","303,920",6.87,5.24,-0.85,0.29
Arkansas,AR,Hempstead,05057,26,13,"5,490",108,"86,281",6.36,1.97,-1.65,-1.16
Arkansas,AR,Hot Spring,05059,38,29,"9,188",220,"164,609",5.58,2.39,-0.83,0.15
Arkansas,AR,Howard,05061,19,14,"4,485",0,"79,871",5.62,0.00,-0.07,0.00
Arkansas,AR,Independence,05063,138,85,"28,240","1,190","350,814",8.05,4.21,0.38,-0.31
Arkansas,AR,Izard,05065,20,16,"5,936",184,"100,478",5.91,3.10,-1.07,-2.96
Arkansas,AR,Jackson,05067,36,22,"7,188",162,"125,447",5.73,2.25,-0.44,-0.23
Arkansas,AR,Jefferson,05069,232,135,"20,432",700,"485,092",4.21,3.43,0.06,2.64
Arkansas,AR,Johnson,05071,38,26,"8,555",283,"155,014",5.52,3.31,-1.46,-1.15
Arkansas,AR,Lafayette,05073,6,4,"2,197",62,"26,679",8.23,2.82,1.18,-1.79
Arkansas,AR,Lawrence,05075,24,18,"5,061",361,"85,485",5.92,7.13,-1.69,-1.61
Arkansas,AR,Lee,05077,11,5,951,15,"22,497",4.23,1.58,-1.71,-1.01
Arkansas,AR,Lincoln,05079,6,5,"1,179",0,"31,959",3.69,0.00,-0.62,0.00
Arkansas,AR,Little River,05081,15,13,"2,490",20,"44,447",5.60,0.80,-1.78,0.29
Arkansas,AR,Logan,05083,20,16,"3,872",184,"81,260",4.76,4.75,-0.30,2.12
Arkansas,AR,Lonoke,05085,74,47,"4,358",24,"126,790",3.44,0.55,-0.86,0.24
Arkansas,AR,Madison,05087,11,6,"2,688",132,"41,347",6.50,4.91,-0.91,-2.28
Arkansas,AR,Marion,05089,11,6,"2,023",0,"45,176",4.48,0.00,-1.15,-3.68
Arkansas,AR,Miller,05091,89,40,"10,116",219,"146,730",6.89,2.16,0.92,1.16
Arkansas,AR,Mississippi,05093,59,41,"13,271",315,"201,435",6.59,2.37,-1.87,0.51
Arkansas,AR,Monroe,05095,10,8,742,0,"32,776",2.26,0.00,0.15,0.00
Arkansas,AR,Montgomery,05097,9,9,"3,928",117,"45,615",8.61,2.98,0.51,-0.10
Arkansas,AR,Nevada,05099,10,8,"3,579",74,"63,550",5.63,2.07,0.26,-0.05
Arkansas,AR,Newton,05101,7,6,"1,902",44,"25,526",7.45,2.31,-0.47,-1.73
Arkansas,AR,Ouachita,05103,42,31,"11,874",518,"172,909",6.87,4.36,-0.66,0.19
Arkansas,AR,Perry,05105,2,2,774,16,"12,266",6.31,2.07,-1.40,-2.49
Arkansas,AR,Phillips,05107,40,27,"9,495",90,"150,777",6.30,0.95,-0.65,-0.37
Arkansas,AR,Pike,05109,16,11,"4,261",132,"64,372",6.62,3.10,-0.88,1.21
Arkansas,AR,Poinsett,05111,25,15,"11,906",548,"144,986",8.21,4.60,1.02,-1.30
Arkansas,AR,Polk,05113,51,35,"5,478",99,"121,609",4.50,1.81,-1.13,-0.90
Arkansas,AR,Pope,05115,137,73,"15,791",560,"307,323",5.14,3.55,-0.35,-0.23
Arkansas,AR,Prairie,05117,5,4,336,0,"11,200",3.00,0.00,-1.65,0.00
Arkansas,AR,Pulaski,05119,"2,579","1,173","233,811","18,110","3,176,762",7.36,7.75,-0.32,1.14
Arkansas,AR,Randolph,05121,34,24,"5,962",359,"118,377",5.04,6.02,-0.33,-0.74
Arkansas,AR,Saline,05125,166,97,"19,835",660,"364,794",5.44,3.33,-0.17,0.11
Arkansas,AR,Scott,05127,7,5,"2,165",40,"35,561",6.09,1.85,0.62,1.12
Arkansas,AR,Searcy,05129,14,10,"2,162",18,"50,621",4.27,0.83,-1.78,-1.57
Arkansas,AR,Sebastian,05131,576,338,"70,641","3,662","1,203,808",5.87,5.18,-0.38,1.74
Arkansas,AR,Sevier,05133,23,21,"4,960",154,"77,538",6.40,3.10,-0.88,0.66
Arkansas,AR,Sharp,05135,28,19,"6,773",283,"127,230",5.32,4.18,-0.87,-1.38
Arkansas,AR,St. Francis,05123,28,22,"6,426",285,"110,704",5.80,4.44,-0.04,-0.59
Arkansas,AR,Stone,05137,20,15,"5,461",162,"96,578",5.65,2.97,-0.93,0.91
Arkansas,AR,Union,05139,120,71,"14,845",740,"268,509",5.53,4.98,-0.18,0.32
Arkansas,AR,Van Buren,05141,27,20,"2,992",0,"85,464",3.50,0.00,-1.04,-0.61
Arkansas,AR,Washington,05143,750,376,"97,520","10,984","1,057,066",9.23,11.26,0.13,0.55
Arkansas,AR,White,05145,193,108,"20,638",649,"558,121",3.70,3.14,-0.77,-0.03
Arkansas,AR,Woodruff,05147,16,11,"1,438",13,"49,135",2.93,0.90,-1.74,-1.94
Arkansas,AR,Yell,05149,30,28,"5,832",87,"123,936",4.71,1.49,-1.50,0.51
California,CA,Alameda,06001,"5,129","2,317","261,648","25,772","4,706,955",5.56,9.85,-0.46,1.88
California,CA,Amador,06005,96,52,"12,400","1,037","157,336",7.88,8.36,0.14,2.54
California,CA,Butte,06007,742,410,"98,837","9,445","1,154,117",8.56,9.56,-0.77,-0.21
California,CA,Calaveras,06009,61,38,"11,497","1,625","120,043",9.58,14.13,-1.20,-2.28
California,CA,Colusa,06011,32,20,"4,522",461,"78,137",5.79,10.19,-0.50,0.35
California,CA,Contra Costa,06013,"3,116","1,413","185,771","19,288","3,060,934",6.07,10.38,-0.46,1.25
California,CA,Del Norte,06015,53,34,"10,664","1,724","88,756",12.01,16.17,-0.56,1.71
California,CA,El Dorado,06017,393,207,"29,347","2,159","402,928",7.28,7.36,-0.54,0.16
California,CA,Fresno,06019,"2,567","1,231","213,789","16,853","3,555,028",6.01,7.88,-0.55,1.87
California,CA,Glenn,06021,46,26,"6,096",504,"78,125",7.80,8.27,-1.57,0.39
California,CA,Humboldt,06023,428,229,"52,251","7,024","597,268",8.75,13.44,-0.59,0.93
California,CA,Imperial,06025,286,148,"30,173","1,785","814,656",3.70,5.92,-1.33,2.66
California,CA,Inyo,06027,62,33,"3,913",400,"81,028",4.83,10.22,-0.84,-0.29
California,CA,Kern,06029,"1,721",918,"170,835","11,882","2,766,493",6.18,6.96,-0.48,1.32
California,CA,Kings,06031,265,130,"22,440",962,"410,032",5.47,4.29,-1.93,1.62
California,CA,Lake,06033,126,68,"21,704","2,903","275,691",7.87,13.38,-3.25,1.40
California,CA,Lassen,06035,55,31,"6,865",687,"69,693",9.85,10.01,-1.37,-1.15
California,CA,Los Angeles,06037,"31,744","12,762","1,518,079","82,198","41,793,530",3.63,5.41,-0.44,1.12
California,CA,Madera,06039,193,91,"17,640",696,"310,545",5.68,3.95,-0.53,0.29
California,CA,Marin,06041,929,347,"44,564","4,755","836,869",5.33,10.67,-0.64,1.52
California,CA,Mariposa,06043,31,16,"2,920",256,"31,931",9.14,8.77,-0.76,3.58
California,CA,Mendocino,06045,284,160,"30,230","4,105","346,218",8.73,13.58,-0.70,-1.33
California,CA,Merced,06047,461,265,"48,472","3,546","752,606",6.44,7.32,-0.50,1.73
California,CA,Modoc,06049,17,8,"2,092",152,"20,956",9.98,7.27,0.65,-1.25
California,CA,Mono,06051,35,24,"1,197",61,"14,291",8.38,5.10,-1.82,-0.92
California,CA,Monterey,06053,"1,087",501,"59,285","4,653","1,139,472",5.20,7.85,-0.70,0.35
California,CA,Napa,06055,495,205,"31,737","3,944","488,124",6.50,12.43,0.32,0.88
California,CA,Nevada,06057,284,143,"25,966","2,187","373,495",6.95,8.42,-0.65,0.28
California,CA,Orange,06059,"10,289","4,250","499,191","35,926","12,275,518",4.07,7.20,-0.20,1.22
