"Medicare Part D Opioid Prescribing Rates from Calendar Year 2016,",,,,,,,,,,,
by ZIP Code,,,,,,,,,,,
,,,,,,,,,,,
,,,Calendar Year 2016,,,,,,,Change in Opioid Prescribing Rates 2013 to 2016,
State Name,State Abbreviation,ZIP Code,Part D Prescribers,Part D Opioid Prescribers,Opioid Claims,Extended Release Opioid Claims,Overall Claims,Opioid Prescribing Rate,Extended Release Opioid Prescribing Rate,Change in Opioid Prescribing Rate,Change in Extended Release Opioid Prescribing Rate 
National,,,"1,120,441","496,350","77,716,608","5,381,275","1,452,978,228",5.35,6.92,-0.47,0.80
Alabama,AL,35004,16,8,"1,587",89,"21,243",7.47,5.61,0.28,4.19
Alabama,AL,35005,6,4,"1,992",135,"36,129",5.51,6.78,-0.11,-3.52
Alabama,AL,35007,127,64,"18,847","1,441","243,621",7.74,7.65,0.24,-0.30
Alabama,AL,35010,67,31,"11,705",234,"275,250",4.25,2.00,-1.09,-0.79
Alabama,AL,35016,15,11,"2,646",49,"70,001",3.78,1.85,-0.67,1.21
Alabama,AL,35020,35,23,"3,134",19,"49,120",6.38,0.61,-0.16,-0.63
Alabama,AL,35022,86,50,"18,503",495,"266,610",6.94,2.68,-0.97,-0.49
Alabama,AL,35023,20,11,"3,809",69,"88,055",4.33,1.81,-2.20,-2.55
Alabama,AL,35031,2,2,641,0,"12,174",5.27,0.00,-0.87,0.00
Alabama,AL,35035,2,2,56,0,238,23.53,0.00,-0.88,0.00
Alabama,AL,35040,20,12,"9,701",353,"114,676",8.46,3.64,0.67,0.64
Alabama,AL,35042,31,9,"1,527",43,"39,575",3.86,2.82,0.15,0.74
Alabama,AL,35043,9,6,279,0,"2,918",9.56,0.00,-7.69,0.00
Alabama,AL,35044,8,5,"1,417",27,"29,095",4.87,1.91,-0.33,0.51
Alabama,AL,35045,32,23,"10,266",78,"123,221",8.33,0.76,1.53,-0.21
Alabama,AL,35049,2,1,688,0,"15,261",4.51,0.00,0.50,0.00
Alabama,AL,35051,14,7,"3,188",71,"49,527",6.44,2.23,-0.02,-0.72
Alabama,AL,35054,1,0,0,0,33,0.00,0.00,0.00,0.00
Alabama,AL,35055,89,46,"26,149","1,711","331,674",7.88,6.54,0.79,1.76
Alabama,AL,35058,118,67,"31,050","2,128","398,471",7.79,6.85,-0.12,-0.24
Alabama,AL,35061,1,1,13,0,13,100.00,0.00,,
Alabama,AL,35062,3,2,372,0,"7,173",5.19,0.00,-3.10,0.00
Alabama,AL,35064,9,7,282,0,"5,798",4.86,0.00,1.41,0.00
Alabama,AL,35068,9,6,"2,689",24,"41,023",6.55,0.89,-0.56,-3.09
Alabama,AL,35071,35,16,"8,273",120,"160,921",5.14,1.45,-1.72,-2.35
Alabama,AL,35073,1,1,"1,523",0,"19,662",7.75,0.00,-0.03,-1.21
Alabama,AL,35077,7,6,"1,294",226,"12,017",10.77,17.47,-6.26,-3.55
Alabama,AL,35078,2,1,26,0,"1,767",1.47,0.00,-2.45,0.00
Alabama,AL,35079,1,0,0,0,498,0.00,0.00,,
Alabama,AL,35080,10,4,"1,197",124,"28,253",4.24,10.36,-1.47,7.62
Alabama,AL,35083,3,1,40,0,"1,527",2.62,0.00,-3.87,0.00
Alabama,AL,35085,4,3,"1,443",17,"36,354",3.97,1.18,-1.40,-0.20
Alabama,AL,35094,14,9,955,0,"24,318",3.93,0.00,-1.83,0.00
Alabama,AL,35096,8,4,"2,498",87,"37,051",6.74,3.48,-2.10,1.23
Alabama,AL,35097,1,1,15,0,103,14.56,0.00,-20.63,0.00
Alabama,AL,35111,9,6,"1,699",79,"47,211",3.60,4.65,-2.66,1.91
Alabama,AL,35115,5,3,572,12,"7,980",7.17,2.10,-1.35,-2.55
Alabama,AL,35117,3,0,0,0,"2,541",0.00,0.00,-3.11,0.00
Alabama,AL,35120,1,0,0,0,18,0.00,0.00,-53.60,0.00
Alabama,AL,35121,20,17,"6,502",56,"107,713",6.04,0.86,-0.35,-1.17
Alabama,AL,35124,41,19,"8,765",358,"93,206",9.40,4.08,1.63,1.82
Alabama,AL,35125,58,29,"29,900","2,707","231,375",12.92,9.05,3.70,5.14
Alabama,AL,35126,17,9,"2,732",46,"78,303",3.49,1.68,-2.49,1.20
Alabama,AL,35127,5,5,127,0,637,19.94,0.00,-3.68,0.00
Alabama,AL,35128,5,2,43,0,"1,023",4.20,0.00,0.12,0.00
Alabama,AL,35136,1,1,106,0,"2,407",4.40,0.00,2.62,0.00
Alabama,AL,35146,6,4,"2,602",164,"39,760",6.54,6.30,0.69,2.31
Alabama,AL,35147,2,1,54,0,151,35.76,0.00,26.54,0.00
Alabama,AL,35148,6,4,"3,321",48,"31,762",10.46,1.45,-3.39,-4.58
Alabama,AL,35150,63,39,"15,607",150,"229,570",6.80,0.96,-2.51,-0.31
Alabama,AL,35160,43,23,"14,785",392,"133,663",11.06,2.65,2.38,-2.68
Alabama,AL,35171,1,1,27,0,112,24.11,0.00,-5.89,0.00
Alabama,AL,35173,21,11,"5,856",985,"31,584",18.54,16.82,0.52,2.76
Alabama,AL,35179,1,0,0,0,873,0.00,0.00,0.00,0.00
Alabama,AL,35180,16,11,"2,312",0,"30,475",7.59,0.00,-2.12,-0.85
Alabama,AL,35184,2,0,0,0,"2,438",0.00,0.00,,
Alabama,AL,35188,5,3,176,0,"4,911",3.58,0.00,-31.88,0.00
Alabama,AL,35203,13,6,496,0,"3,466",14.31,0.00,1.95,0.00
Alabama,AL,35204,2,1,74,0,180,41.11,0.00,4.49,0.00
Alabama,AL,35205,423,232,"65,903","4,261","735,915",8.96,6.47,0.24,-1.02
Alabama,AL,35206,9,3,"1,332",255,"6,042",22.05,19.14,18.34,19.14
Alabama,AL,35207,10,7,"2,260",12,"47,826",4.73,0.53,-1.67,-0.83
Alabama,AL,35208,8,7,"1,189",0,"5,263",22.59,0.00,6.85,0.00
Alabama,AL,35209,426,203,"39,095","1,062","726,815",5.38,2.72,-0.99,-0.79
Alabama,AL,35210,29,16,"1,697",51,"28,965",5.86,3.01,-3.89,3.01
Alabama,AL,35211,211,111,"38,434","1,236","599,568",6.41,3.22,0.01,-0.58
Alabama,AL,35212,20,9,931,20,"34,573",2.69,2.15,-1.39,-5.84
