,index,State Name,State Abbreviation,County Name,FIPS,Part D Prescribers,Part D Opioid Prescribers,Opioid Claims,Extended Release Opioid Claims,Overall Claims,Opioid Prescribing Rate,Extended Release Opioid Prescribing Rate,Change in Opioid Prescribing Rate,Change in Extended Release Opioid Prescribing Rate ,County Name/State Abbreviation,Year,Force,Employed,Unemployed,(%)
0,1,Alabama,AL,Autauga,01001,73,45,"24,358","2,286","212,377",11.47,9.39,1.67,4.61,"Autauga County, AL",2016,"25,918     ","24,593     ","1,325     ",5.1     
1,2,Alabama,AL,Baldwin,01003,457,259,"80,557","6,489","940,727",8.56,8.06,-0.58,0.33,"Baldwin County, AL",2016,"90,500     ","85,656     ","4,844     ",5.4     
2,3,Alabama,AL,Barbour,01005,31,21,"4,383",165,"123,196",3.56,3.76,-2.72,1.49,"Barbour County, AL",2016,"8,402     ","7,700     ",702     ,8.4     
3,4,Alabama,AL,Bibb,01007,40,14,"1,759",43,"47,162",3.73,2.44,-0.25,0.52,"Bibb County, AL",2016,"8,607     ","8,050     ",557     ,6.5     
4,5,Alabama,AL,Blount,01009,26,21,"7,846",56,"135,749",5.78,0.71,-0.34,-1.00,"Blount County, AL",2016,"24,576     ","23,248     ","1,328     ",5.4     
5,6,Alabama,AL,Bullock,01011,7,6,"1,920",40,"40,333",4.76,2.08,1.02,0.96,"Bullock County, AL",2016,"4,824     ","4,493     ",331     ,6.9     
6,7,Alabama,AL,Butler,01013,36,25,"3,943",26,"93,106",4.23,0.66,-3.96,-0.39,"Butler County, AL",2016,"9,190     ","8,553     ",637     ,6.9     
7,8,Alabama,AL,Calhoun,01015,276,159,"47,278","1,759","645,365",7.33,3.72,-0.65,-1.77,"Calhoun County, AL",2016,"45,818     ","42,815     ","3,003     ",6.6     
8,9,Alabama,AL,Chambers,01017,32,22,"10,700",647,"136,055",7.86,6.05,-0.10,-0.14,"Chambers County, AL",2016,"14,978     ","14,158     ",820     ,5.5     
9,10,Alabama,AL,Cherokee,01019,32,20,"13,189",934,"168,763",7.82,7.08,-0.34,5.08,"Cherokee County, AL",2016,"11,332     ","10,757     ",575     ,5.1     
10,11,Alabama,AL,Chilton,01021,40,29,"11,909",95,"162,842",7.31,0.80,0.86,-0.24,"Chilton County, AL",2016,"19,183     ","18,128     ","1,055     ",5.5     
11,12,Alabama,AL,Choctaw,01023,12,8,"6,513",158,"88,461",7.36,2.43,-0.77,0.70,"Choctaw County, AL",2016,"4,327     ","3,958     ",369     ,8.5     
12,13,Alabama,AL,Clarke,01025,42,25,"9,109",97,"157,146",5.80,1.06,-0.80,0.08,"Clarke County, AL",2016,"7,953     ","7,087     ",866     ,10.9     
